municipality_id,name,county,website_url,domain,jobs_url,directory_url,assessor_url,tax_url
ct_andover,Andover,Tolland County,https://www.andoverconnecticut.org/,andoverconnecticut.org,https://www.andoverconnecticut.org/employment-volunteer-opportunities,,,
ct_ansonia,Ansonia,New Haven County,https://www.cityofansonia.com/,cityofansonia.com,,,,
ct_ashford,Ashford,Windham County,https://ashfordtownhall.org/,ashfordtownhall.org,https://ashfordtownhall.org/jobs.aspx,,,
ct_avon,Avon,Hartford County,https://www.avonct.gov/,avonct.gov,https://www.avonct.gov/departments/human_resources/employment_opportunities/employment.php,,,
ct_barkhamsted,Barkhamsted,Litchfield County,https://www.barkhamsted.us/,barkhamsted.us,https://www.barkhamsted.us/job-postings,,,
ct_beacon_falls,Beacon Falls,New Haven County,https://www.beaconfalls-ct.org/,beaconfalls-ct.org,,,,
ct_berlin,Berlin,Hartford County,https://www.berlinct.gov/,berlinct.gov,https://www.berlinct.gov/category/index.php?categoryid=51,,,
ct_bethany,Bethany,New Haven County,https://bethany-ct.com/,bethany-ct.com,https://bethany-ct.com/employment,,,
ct_bethel,Bethel,Fairfield County,https://bethel-ct.gov/,bethel-ct.gov,https://bethel-ct.gov/Employment,,,
ct_bethlehem,Bethlehem,Litchfield County,https://bethlehemct.org/,bethlehemct.org,https://bethlehemct.org/employment,,,
ct_bloomfield,Bloomfield,Hartford County,https://www.bloomfieldct.gov/,bloomfieldct.gov,https://www.governmentjobs.com/careers/bloomfieldct,,,
ct_bolton,Bolton,Tolland County,https://www.boltonct.gov/,boltonct.gov,https://www.boltonct.gov/employment,,,
ct_bozrah,Bozrah,New London County,https://www.townofbozrah.org/,townofbozrah.org,https://www.townofbozrah.org/Jobs.aspx,,,
ct_branford,Branford,New Haven County,https://www.branford-ct.gov/,branford-ct.gov,https://www.branford-ct.gov/273/Employment-Opportunities,,,
ct_bridgeport,Bridgeport,Fairfield County,https://www.bridgeportct.gov/,bridgeportct.gov,https://www.bridgeportct.gov/government/departments/civil-service/city-careers,,,
ct_bridgewater,Bridgewater,Litchfield County,https://www.bridgewater-ct.gov/,bridgewater-ct.gov,https://www.bridgewater-ct.gov/1323/Employment-Opportunities,,,
ct_bristol,Bristol,Hartford County,https://www.bristolct.gov/,bristolct.gov,https://www.applitrack.com/bristolct/onlineapp/default.asp,,,
ct_brookfield,Brookfield,Fairfield County,https://www.brookfieldct.gov/,brookfieldct.gov,https://www.brookfieldct.gov/Jobs.aspx,,,
ct_brooklyn,Brooklyn,Windham County,https://www.brooklynct.org/,brooklynct.org,https://www.brooklynct.org/Jobs.aspx,,,
ct_burlington,Burlington,Hartford County,https://www.burlingtonct.gov/,burlingtonct.gov,https://www.burlingtonct.gov/Jobs.aspx,,,
ct_canaan,Canaan,Litchfield County,https://www.canaanfallsvillage.org/,canaanfallsvillage.org,https://www.canaanfallsvillage.org/job-openings,,,
ct_canterbury,Canterbury,Windham County,http://canterburyct.org/,canterburyct.org,https://www.canterburyct.org/jobs,,,
ct_canton,Canton,Hartford County,https://www.townofcantonct.org/,townofcantonct.org,https://www.townofcantonct.org/employment-opportunities,,,
ct_chaplin,Chaplin,Windham County,https://www.chaplinct.org/,chaplinct.org,https://www.chaplinct.org/jobs.htm,,,
ct_cheshire,Cheshire,New Haven County,https://www.cheshirect.gov/,cheshirect.gov,https://www.cheshirect.gov/Jobs.aspx,,,
ct_chester,Chester,Middlesex County,https://www.chesterct.org/,chesterct.org,https://www.chesterct.org/1196/Employment-Opportunities,,,
ct_clinton,Clinton,Middlesex County,https://clintonct.org/,clintonct.org,https://clintonct.org/Jobs.aspx,,,
ct_colchester,Colchester,New London County,https://www.colchesterct.gov/,colchesterct.gov,https://www.colchesterct.gov/human-resources/pages/employment-opportunities,,,
ct_colebrook,Colebrook,Litchfield County,https://www.townofcolebrook.org/,townofcolebrook.org,,,,
ct_columbia,Columbia,Tolland County,https://www.columbiact.gov/,columbiact.gov,https://www.columbiact.gov/jobs,,,
ct_cornwall,Cornwall,Litchfield County,https://cornwallct.org/,cornwallct.org,https://cornwallct.org/employment-and-board-vacancies/,,,
ct_coventry,Coventry,Tolland County,https://www.coventry-ct.gov/,coventry-ct.gov,https://www.coventry-ct.gov/Jobs.aspx,,,
ct_cromwell,Cromwell,Middlesex County,https://www.cromwellct.com/,cromwellct.com,https://www.cromwellct.com/human-resources/pages/current-employment-opportunities,,,
ct_danbury,Danbury,Fairfield County,https://www.danbury-ct.gov/,danbury-ct.gov,https://www.governmentjobs.com/careers/danburyct,,,
ct_darien,Darien,Fairfield County,https://www.darienct.gov/,darienct.gov,https://www.darienct.gov/Jobs.aspx,,,
ct_deep_river,Deep River,Middlesex County,https://www.deepriverct.us/,deepriverct.us,https://www.deepriverct.us/jobs-bids-and-rfps,,,
ct_derby,Derby,New Haven County,https://www.derbyct.gov/,derbyct.gov,https://www.derbyct.gov/jobs,,,
ct_durham,Durham,Middlesex County,https://www.townofdurhamct.org/,townofdurhamct.org,https://www.townofdurhamct.org/job-openings,,,
ct_east_granby,East Granby,Hartford County,https://eastgranbyct.org/,eastgranbyct.org,https://eastgranbyct.org/employment-opportunities/,,,
ct_east_haddam,East Haddam,Middlesex County,https://www.easthaddam.org/,easthaddam.org,https://www.easthaddam.org/jobs,,,
ct_east_hampton,East Hampton,Middlesex County,https://www.easthamptonct.gov/,easthamptonct.gov,https://easthamptonct.gov/1281/Job-Openings,,,
ct_east_hartford,East Hartford,Hartford County,https://www.easthartfordct.gov/,easthartfordct.gov,https://www.governmentjobs.com/careers/easthartfordct,,,
ct_east_haven,East Haven,New Haven County,https://www.easthaven-ct.gov/,easthaven-ct.gov,https://www.easthaven-ct.gov/Jobs.aspx,,,
ct_east_lyme,East Lyme,New London County,https://eltownhall.com/,eltownhall.com,https://eltownhall.com/government/departments/human-resources/,,,
ct_east_windsor,East Windsor,Hartford County,https://www.eastwindsor-ct.gov/,eastwindsor-ct.gov,https://www.eastwindsor-ct.gov/employment-opportunities,,,
ct_eastford,Eastford,Windham County,https://www.eastfordct.gov/,eastfordct.gov,,,,
ct_easton,Easton,Fairfield County,https://www.eastonct.gov/,eastonct.gov,https://www.eastonct.gov/home/pages/job-postings-all-job-postings-for-the-town-of-easton,,,
ct_ellington,Ellington,Tolland County,https://www.ellington-ct.gov/,ellington-ct.gov,https://www.ellington-ct.gov/departments-and-services/human-resources/job-opportunities,,,
ct_enfield,Enfield,Hartford County,https://www.enfield-ct.gov/,enfield-ct.gov,https://enfield.munisselfservice.com/employmentopportunities/default.aspx,,,
ct_essex,Essex,Middlesex County,https://www.essexct.gov,essexct.gov,https://www.essexct.gov/354/Employment-Opportunities,,,
ct_fairfield,Fairfield,Fairfield County,https://www.fairfieldct.org/,fairfieldct.org,https://www.governmentjobs.com/careers/fairfieldct,,,
ct_farmington,Farmington,Hartford County,https://www.farmington-ct.org/,farmington-ct.org,https://www.farmington-ct.org/about-farmington/employment,,,
ct_franklin,Franklin,New London County,https://www.franklinct.gov/,franklinct.gov,https://www.franklinct.gov/home/pages/job-openings,,,
ct_glastonbury,Glastonbury,Hartford County,https://www.glastonburyct.gov/,glastonburyct.gov,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=D8B0164E5A6DABD9CC58F3275F055828,,,
ct_goshen,Goshen,Litchfield County,https://www.goshenct.gov/,goshenct.gov,https://www.goshenct.gov/job-opportunities,,,
ct_granby,Granby,Hartford County,https://www.granby-ct.gov/,granby-ct.gov,https://ct-granby.civicplus.com/Jobs.aspx,,,
ct_greenwich,Greenwich,Fairfield County,https://www.greenwichct.gov/,greenwichct.gov,https://www.governmentjobs.com/careers/greenwichct,,,
ct_griswold,Griswold,New London County,https://www.griswold-ct.org/,griswold-ct.org,https://www.griswold-ct.org/how_do_i/apply_for_obtain/employment_opportunities.php,,,
ct_groton,Groton,New London County,https://www.groton-ct.gov/,groton-ct.gov,https://www.irecruit-us.com/index.php?OrgID=I20101202,,,
ct_guilford,Guilford,New Haven County,https://www.guilfordct.gov/,guilfordct.gov,https://www.guilfordct.gov/town_departments/human_resources/job_listings.php,,,
ct_haddam,Haddam,Middlesex County,https://www.haddam.org/,haddam.org,,,,
ct_hamden,Hamden,New Haven County,https://www.hamden.com/,hamden.com,https://www.hamden.com/Jobs.aspx,,,
ct_hampton,Hampton,Windham County,https://www.hamptonct.org/,hamptonct.org,https://www.hamptonct.org/help_wanted.htm,,,
ct_hartford,Hartford,Hartford County,https://www.hartfordct.gov/Home,hartfordct.gov,https://www.governmentjobs.com/careers/hartfordct,,,
ct_hartland,Hartland,Hartford County,https://www.hartlandct.org/,hartlandct.org,,,,
ct_harwinton,Harwinton,Litchfield County,https://www.harwinton.gov/,harwinton.gov,https://www.harwinton.gov/820/Employment,,,
ct_hebron,Hebron,Tolland County,https://www.hebronct.com/,hebronct.com,https://hebronct.com/contact-us/employment/,,,
ct_kent,Kent,Litchfield County,https://www.townofkentct.gov/,townofkentct.gov,https://www.townofkentct.gov/home/pages/employment-opportunities,,,
ct_killingly,Killingly,Windham County,https://www.killinglyct.gov/,killinglyct.gov,https://www.killinglyct.gov/employment_opportunites/index.php,,,
ct_killingworth,Killingworth,Middlesex County,https://townofkillingworth.com/,townofkillingworth.com,https://townofkillingworth.com/employment-opportunities/,,,
ct_lebanon,Lebanon,New London County,https://www.lebanonct.gov/,lebanonct.gov,https://www.lebanonct.gov/home/pages/employment-opportunities,,,
ct_ledyard,Ledyard,New London County,https://www.ledyardct.org/,ledyardct.org,https://www.ledyardct.org/87/Job-Opportunities,,,
ct_lisbon,Lisbon,New London County,https://www.lisbonct.gov/,lisbonct.gov,https://www.lisbonct.gov/jobs.aspx,,,
ct_litchfield,Litchfield,Litchfield County,https://www.townoflitchfieldct.gov/,townoflitchfieldct.gov,https://www.townoflitchfieldct.gov/job-openings,,,
ct_lyme,Lyme,New London County,https://townlyme.org/,townlyme.org,https://townlyme.org/help-wanted/,,,
ct_madison,Madison,New Haven County,https://www.madisonct.org/,madisonct.org,https://www.madisonct.org/jobs.aspx,,,
ct_manchester,Manchester,Hartford County,https://www.manchesterct.gov/Home,manchesterct.gov,https://www.manchesterct.gov/Government/Departments/Human-Resources/Employment-Opportunities-with-the-Town-of-Manchester,,,
ct_mansfield,Mansfield,Tolland County,https://www.mansfieldct.gov/,mansfieldct.gov,https://www.applitrack.com/mansfieldct/onlineapp/jobpostings/view.asp?internaltransferform.Url=,,,
ct_marlborough,Marlborough,Hartford County,https://www.marlboroughct.net/,marlboroughct.net,https://www.marlboroughct.net/government/open_positions.php,,,
ct_meriden,Meriden,New Haven County,https://www.meridenct.gov/,meridenct.gov,https://www.meridenct.gov/government/departments/human-resources/careers/,,,
ct_middlebury,Middlebury,New Haven County,https://www.middlebury-ct.org/,middlebury-ct.org,https://www.middlebury-ct.org/employment,,,
ct_middlefield,Middlefield,Middlesex County,https://www.middlefieldct.org/,middlefieldct.org,https://www.middlefieldct.org/Jobs.aspx,,,
ct_middletown,Middletown,Middlesex County,https://www.middletownct.gov/,middletownct.gov,https://www.governmentjobs.com/careers/middletownct,,,
ct_milford,Milford,New Haven County,https://www.milfordct.us/,milfordct.us,https://www.milfordct.us/767/Employment-Opportunities,,,
ct_monroe,Monroe,Fairfield County,https://www.monroect.gov/,monroect.gov,https://www.monroect.gov/p/available-positions,,,
ct_montville,Montville,New London County,https://www.townofmontville.org/,townofmontville.org,https://www.townofmontville.org/careers/,,,
ct_morris,Morris,Litchfield County,https://www.morrisct.gov/,morrisct.gov,https://www.morrisct.gov/job-openings,,,
ct_naugatuck,Naugatuck,New Haven County,http://www.naugatuck-ct.gov/,naugatuck-ct.gov,http://www.naugatuck-ct.gov/human-resources/employment,,,
ct_new_britain,New Britain,Hartford County,https://www.newbritainct.gov/,newbritainct.gov,https://www.newbritainct.gov/services/civil/employment/job-postingshtm,,,
ct_new_canaan,New Canaan,Fairfield County,https://www.newcanaan.info/,newcanaan.info,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=cc5de7eb-4d8c-4b09-aafa-ddaefc2b33b3,,,
ct_new_fairfield,New Fairfield,Fairfield County,https://www.newfairfield.org/,newfairfield.org,https://www.applitrack.com/newfairfield/onlineapp/default.aspx,,,
ct_new_hartford,New Hartford,Litchfield County,https://www.newhartfordct.gov/,newhartfordct.gov,,,,
ct_new_haven,New Haven,New Haven County,https://www.newhavenct.gov/,newhavenct.gov,https://www.jobapscloud.com/oec/NewHaven/,,,
ct_new_london,New London,New London County,https://newlondonct.gov/,newlondonct.gov,https://newlondonct.gov/employment-opportunities,,,
ct_new_milford,New Milford,Litchfield County,https://www.newmilford.org/,newmilford.org,https://www.newmilford.org/personnel/job-openings,,,
ct_newington,Newington,Hartford County,https://www.newingtonct.gov/,newingtonct.gov,https://www.newingtonct.gov/1179/Employment-Opportunities,,,
