municipality_id,name,county,website_url,domain
ct_andover,Andover,Tolland County,https://www.andoverconnecticut.org/,andoverconnecticut.org
ct_ansonia,Ansonia,New Haven County,https://www.cityofansonia.com/,cityofansonia.com
ct_ashford,Ashford,Windham County,https://ashfordtownhall.org/,ashfordtownhall.org
ct_avon,Avon,Hartford County,https://www.avonct.gov/,avonct.gov
ct_barkhamsted,Barkhamsted,Litchfield County,https://www.barkhamsted.us/,barkhamsted.us
ct_beacon_falls,Beacon Falls,New Haven County,https://www.beaconfalls-ct.org/,beaconfalls-ct.org
ct_berlin,Berlin,Hartford County,https://www.berlinct.gov/,berlinct.gov
ct_bethany,Bethany,New Haven County,https://bethany-ct.com/,bethany-ct.com
ct_bethel,Bethel,Fairfield County,https://bethel-ct.gov/,bethel-ct.gov
ct_bethlehem,Bethlehem,Litchfield County,https://bethlehemct.org/,bethlehemct.org
ct_bloomfield,Bloomfield,Hartford County,https://www.bloomfieldct.gov/,bloomfieldct.gov
ct_bolton,Bolton,Tolland County,https://www.boltonct.gov/,boltonct.gov
ct_bozrah,Bozrah,New London County,https://www.townofbozrah.org/,townofbozrah.org
ct_branford,Branford,New Haven County,https://www.branford-ct.gov/,branford-ct.gov
ct_bridgeport,Bridgeport,Fairfield County,https://www.bridgeportct.gov/,bridgeportct.gov
ct_bridgewater,Bridgewater,Litchfield County,https://www.bridgewater-ct.gov/,bridgewater-ct.gov
ct_bristol,Bristol,Hartford County,https://www.bristolct.gov/,bristolct.gov
ct_brookfield,Brookfield,Fairfield County,https://www.brookfieldct.gov/,brookfieldct.gov
ct_brooklyn,Brooklyn,Windham County,https://www.brooklynct.org/,brooklynct.org
ct_burlington,Burlington,Hartford County,https://www.burlingtonct.gov/,burlingtonct.gov
ct_canaan,Canaan,Litchfield County,https://www.canaanfallsvillage.org/,canaanfallsvillage.org
ct_canterbury,Canterbury,Windham County,http://canterburyct.org/,canterburyct.org
ct_canton,Canton,Hartford County,https://www.townofcantonct.org/,townofcantonct.org
ct_chaplin,Chaplin,Windham County,https://www.chaplinct.org/,chaplinct.org
ct_cheshire,Cheshire,New Haven County,https://www.cheshirect.gov/,cheshirect.gov
ct_chester,Chester,Middlesex County,https://www.chesterct.org/,chesterct.org
ct_clinton,Clinton,Middlesex County,https://clintonct.org/,clintonct.org
ct_colchester,Colchester,New London County,https://www.colchesterct.gov/,colchesterct.gov
ct_colebrook,Colebrook,Litchfield County,https://www.townofcolebrook.org/,townofcolebrook.org
ct_columbia,Columbia,Tolland County,https://www.columbiact.gov/,columbiact.gov
ct_cornwall,Cornwall,Litchfield County,https://cornwallct.org/,cornwallct.org
ct_coventry,Coventry,Tolland County,https://www.coventry-ct.gov/,coventry-ct.gov
ct_cromwell,Cromwell,Middlesex County,https://www.cromwellct.com/,cromwellct.com
ct_danbury,Danbury,Fairfield County,https://www.danbury-ct.gov/,danbury-ct.gov
ct_darien,Darien,Fairfield County,https://www.darienct.gov/,darienct.gov
ct_deep_river,Deep River,Middlesex County,https://www.deepriverct.us/,deepriverct.us
ct_derby,Derby,New Haven County,https://www.derbyct.gov/,derbyct.gov
ct_durham,Durham,Middlesex County,https://www.townofdurhamct.org/,townofdurhamct.org
ct_east_granby,East Granby,Hartford County,https://eastgranbyct.org/,eastgranbyct.org
ct_east_haddam,East Haddam,Middlesex County,https://www.easthaddam.org/,easthaddam.org
ct_east_hampton,East Hampton,Middlesex County,https://www.easthamptonct.gov/,easthamptonct.gov
ct_east_hartford,East Hartford,Hartford County,https://www.easthartfordct.gov/,easthartfordct.gov
ct_east_haven,East Haven,New Haven County,https://www.easthaven-ct.gov/,easthaven-ct.gov
ct_east_lyme,East Lyme,New London County,https://eltownhall.com/,eltownhall.com
ct_east_windsor,East Windsor,Hartford County,https://www.eastwindsor-ct.gov/,eastwindsor-ct.gov
ct_eastford,Eastford,Windham County,https://www.eastfordct.gov/,eastfordct.gov
ct_easton,Easton,Fairfield County,https://www.eastonct.gov/,eastonct.gov
ct_ellington,Ellington,Tolland County,https://www.ellington-ct.gov/,ellington-ct.gov
ct_enfield,Enfield,Hartford County,https://www.enfield-ct.gov/,enfield-ct.gov
ct_essex,Essex,Middlesex County,https://www.essexct.gov,essexct.gov
ct_fairfield,Fairfield,Fairfield County,https://www.fairfieldct.org/,fairfieldct.org
ct_farmington,Farmington,Hartford County,https://www.farmington-ct.org/,farmington-ct.org
ct_franklin,Franklin,New London County,https://www.franklinct.gov/,franklinct.gov
ct_glastonbury,Glastonbury,Hartford County,https://www.glastonburyct.gov/,glastonburyct.gov
ct_goshen,Goshen,Litchfield County,https://www.goshenct.gov/,goshenct.gov
ct_granby,Granby,Hartford County,https://www.granby-ct.gov/,granby-ct.gov
ct_greenwich,Greenwich,Fairfield County,https://www.greenwichct.gov/,greenwichct.gov
ct_griswold,Griswold,New London County,https://www.griswold-ct.org/,griswold-ct.org
ct_groton,Groton,New London County,https://www.groton-ct.gov/,groton-ct.gov
ct_guilford,Guilford,New Haven County,https://www.guilfordct.gov/,guilfordct.gov
ct_haddam,Haddam,Middlesex County,https://www.haddam.org/,haddam.org
ct_hamden,Hamden,New Haven County,https://www.hamden.com/,hamden.com
ct_hampton,Hampton,Windham County,https://www.hamptonct.org/,hamptonct.org
ct_hartford,Hartford,Hartford County,https://www.hartfordct.gov/Home,hartfordct.gov
ct_hartland,Hartland,Hartford County,https://www.hartlandct.org/,hartlandct.org
ct_harwinton,Harwinton,Litchfield County,https://www.harwinton.gov/,harwinton.gov
ct_hebron,Hebron,Tolland County,https://www.hebronct.com/,hebronct.com
ct_kent,Kent,Litchfield County,https://www.townofkentct.gov/,townofkentct.gov
ct_killingly,Killingly,Windham County,https://www.killinglyct.gov/,killinglyct.gov
ct_killingworth,Killingworth,Middlesex County,https://townofkillingworth.com/,townofkillingworth.com
ct_lebanon,Lebanon,New London County,https://www.lebanonct.gov/,lebanonct.gov
ct_ledyard,Ledyard,New London County,https://www.ledyardct.org/,ledyardct.org
ct_lisbon,Lisbon,New London County,https://www.lisbonct.gov/,lisbonct.gov
ct_litchfield,Litchfield,Litchfield County,https://www.townoflitchfieldct.gov/,townoflitchfieldct.gov
ct_lyme,Lyme,New London County,https://townlyme.org/,townlyme.org
ct_madison,Madison,New Haven County,https://www.madisonct.org/,madisonct.org
ct_manchester,Manchester,Hartford County,https://www.manchesterct.gov/Home,manchesterct.gov
ct_mansfield,Mansfield,Tolland County,https://www.mansfieldct.gov/,mansfieldct.gov
ct_marlborough,Marlborough,Hartford County,https://www.marlboroughct.net/,marlboroughct.net
ct_meriden,Meriden,New Haven County,https://www.meridenct.gov/,meridenct.gov
ct_middlebury,Middlebury,New Haven County,https://www.middlebury-ct.org/,middlebury-ct.org
ct_middlefield,Middlefield,Middlesex County,https://www.middlefieldct.org/,middlefieldct.org
ct_middletown,Middletown,Middlesex County,https://www.middletownct.gov/,middletownct.gov
ct_milford,Milford,New Haven County,https://www.milfordct.us/,milfordct.us
ct_monroe,Monroe,Fairfield County,https://www.monroect.gov/,monroect.gov
ct_montville,Montville,New London County,https://www.townofmontville.org/,townofmontville.org
ct_morris,Morris,Litchfield County,https://www.morrisct.gov/,morrisct.gov
ct_naugatuck,Naugatuck,New Haven County,http://www.naugatuck-ct.gov/,naugatuck-ct.gov
ct_new_britain,New Britain,Hartford County,https://www.newbritainct.gov/,newbritainct.gov
ct_new_canaan,New Canaan,Fairfield County,https://www.newcanaan.info/,newcanaan.info
ct_new_fairfield,New Fairfield,Fairfield County,https://www.newfairfield.org/,newfairfield.org
ct_new_hartford,New Hartford,Litchfield County,https://www.newhartfordct.gov/,newhartfordct.gov
ct_new_haven,New Haven,New Haven County,https://www.newhavenct.gov/,newhavenct.gov
ct_new_london,New London,New London County,https://newlondonct.gov/,newlondonct.gov
ct_new_milford,New Milford,Litchfield County,https://www.newmilford.org/,newmilford.org
ct_newington,Newington,Hartford County,https://www.newingtonct.gov/,newingtonct.gov
ct_newtown,Newtown,Fairfield County,https://www.newtown-ct.gov/,newtown-ct.gov
ct_norfolk,Norfolk,Litchfield County,https://norfolkct.org/,norfolkct.org
ct_north_branford,North Branford,New Haven County,https://www.northbranfordct.gov/,northbranfordct.gov
ct_north_canaan,North Canaan,Litchfield County,https://www.northcanaan.org/,northcanaan.org
ct_north_haven,North Haven,New Haven County,https://www.northhaven-ct.gov/,northhaven-ct.gov
ct_north_stonington,North Stonington,New London County,https://www.northstoningtonct.gov/,northstoningtonct.gov
ct_norwalk,Norwalk,Fairfield County,https://www.norwalkct.gov/,norwalkct.gov
ct_norwich,Norwich,New London County,https://www.norwichct.gov/,norwichct.gov
ct_old_lyme,Old Lyme,New London County,https://www.oldlyme-ct.gov/,oldlyme-ct.gov
ct_old_saybrook,Old Saybrook,Middlesex County,https://www.oldsaybrookct.gov/,oldsaybrookct.gov
ct_orange,Orange,New Haven County,https://www.orange-ct.gov/,orange-ct.gov
ct_oxford,Oxford,New Haven County,https://www.oxford-ct.gov/,oxford-ct.gov
ct_plainfield,Plainfield,Windham County,https://www.plainfieldct.org/,plainfieldct.org
ct_plainville,Plainville,Hartford County,https://www.plainvillect.com/,plainvillect.com
ct_plymouth,Plymouth,Litchfield County,https://www.plymouthct.gov/,plymouthct.gov
ct_pomfret,Pomfret,Windham County,https://www.pomfretct.gov/,pomfretct.gov
ct_portland,Portland,Middlesex County,https://www.portlandct.org/,portlandct.org
ct_preston,Preston,New London County,https://www.preston-ct.org/,preston-ct.org
ct_prospect,Prospect,New Haven County,https://townofprospect.gov/,townofprospect.gov
ct_putnam,Putnam,Windham County,https://www.putnamct.us/,putnamct.us
ct_redding,Redding,Fairfield County,https://reddingct.gov/,reddingct.gov
ct_ridgefield,Ridgefield,Fairfield County,https://www.ridgefieldct.gov/,ridgefieldct.gov
ct_rocky_hill,Rocky Hill,Hartford County,https://www.rockyhillct.gov/,rockyhillct.gov
ct_roxbury,Roxbury,Litchfield County,https://www.roxburyct.com/,roxburyct.com
ct_salem,Salem,New London County,https://www.salemct.gov/,salemct.gov
ct_salisbury,Salisbury,Litchfield County,https://www.salisburyct.us/,salisburyct.us
ct_scotland,Scotland,Windham County,https://www.scotlandct.org/,scotlandct.org
ct_seymour,Seymour,New Haven County,https://www.seymourct.org/,seymourct.org
ct_sharon,Sharon,Litchfield County,https://www.sharonct.gov/,sharonct.gov
ct_shelton,Shelton,Fairfield County,https://cityofshelton.org/,cityofshelton.org
ct_sherman,Sherman,Fairfield County,https://www.shermanct.gov/,shermanct.gov
ct_simsbury,Simsbury,Hartford County,https://www.simsbury-ct.gov/,simsbury-ct.gov
ct_somers,Somers,Tolland County,https://www.somersct.gov/,somersct.gov
ct_south_windsor,South Windsor,Hartford County,https://www.southwindsor-ct.gov/,southwindsor-ct.gov
ct_southbury,Southbury,New Haven County,https://www.southbury-ct.org/,southbury-ct.org
ct_southington,Southington,Hartford County,https://www.southington.org/,southington.org
ct_sprague,Sprague,New London County,https://www.ctsprague.org/,ctsprague.org
ct_stafford,Stafford,Tolland County,https://www.staffordct.org/,staffordct.org
ct_stamford,Stamford,Fairfield County,https://www.stamfordct.gov/,stamfordct.gov
ct_sterling,Sterling,Windham County,https://www.sterlingct.us/,sterlingct.us
ct_stonington,Stonington,New London County,https://www.stonington-ct.gov/,stonington-ct.gov
ct_stratford,Stratford,Fairfield County,https://www.townofstratford.com/,townofstratford.com
ct_suffield,Suffield,Hartford County,https://www.suffieldct.gov/,suffieldct.gov
ct_thomaston,Thomaston,Litchfield County,https://www.thomastonct.gov/,thomastonct.gov
ct_thompson,Thompson,Windham County,https://www.thompsonct.org/,thompsonct.org
ct_tolland,Tolland,Tolland County,https://www.tollandct.gov/,tollandct.gov
ct_torrington,Torrington,Litchfield County,https://www.torringtonct.org/,torringtonct.org
ct_trumbull,Trumbull,Fairfield County,https://www.trumbull-ct.gov/,trumbull-ct.gov
ct_union,Union,Tolland County,https://www.unionconnecticut.org/,unionconnecticut.org
ct_vernon,Vernon,Tolland County,https://www.vernon-ct.gov/,vernon-ct.gov
ct_voluntown,Voluntown,New London County,https://www.voluntown.gov/,voluntown.gov
ct_wallingford,Wallingford,New Haven County,https://www.wallingfordct.gov/,wallingfordct.gov
ct_warren,Warren,Litchfield County,https://www.warrenct.gov/,warrenct.gov
ct_washington,Washington,Litchfield County,https://www.washingtonct.org/,washingtonct.org
ct_waterbury,Waterbury,New Haven County,https://www.waterburyct.org/,waterburyct.org
ct_waterford,Waterford,New London County,https://www.waterfordct.org/,waterfordct.org
ct_watertown,Watertown,Litchfield County,https://www.watertownct.org/,watertownct.org
ct_west_hartford,West Hartford,Hartford County,https://www.westhartfordct.gov/,westhartfordct.gov
ct_west_haven,West Haven,New Haven County,https://www.cityofwesthaven.com/,cityofwesthaven.com
ct_westbrook,Westbrook,Middlesex County,https://www.westbrookct.us/,westbrookct.us
ct_weston,Weston,Fairfield County,https://www.westonct.gov/,westonct.gov
ct_westport,Westport,Fairfield County,https://www.westportct.gov/,westportct.gov
ct_wethersfield,Wethersfield,Hartford County,https://wethersfieldct.gov/,wethersfieldct.gov
ct_willington,Willington,Tolland County,https://www.willingtonct.gov/,willingtonct.gov
ct_wilton,Wilton,Fairfield County,https://www.wiltonct.gov/,wiltonct.gov
ct_winchester,Winchester,Litchfield County,https://www.townofwinchester.org/,townofwinchester.org
ct_windham,Windham,Windham County,https://www.windhamct.gov/,windhamct.gov
ct_windsor,Windsor,Hartford County,https://www.windsorct.gov/,windsorct.gov
ct_windsor_locks,Windsor Locks,Hartford County,https://windsorlocksct.org/,windsorlocksct.org
ct_wolcott,Wolcott,New Haven County,https://wolcottct.org/,wolcottct.org
ct_woodbridge,Woodbridge,New Haven County,https://www.woodbridgect.org/,woodbridgect.org
ct_woodbury,Woodbury,Litchfield County,https://woodburyct.org/,woodburyct.org
ct_woodstock,Woodstock,Windham County,https://www.woodstockct.gov/,woodstockct.gov
