municipality_id,town_name,county,batch_id,priority,status,notes
ct_chester,Chester,Middlesex County,batch_1,1,pending,known_civicplus_vendor_signal_in_master
ct_essex,Essex,Middlesex County,batch_1,1,pending,known_civicplus_vendor_signal_in_master
ct_haddam,Haddam,Middlesex County,batch_1,1,pending,known_civicplus_vendor_signal_in_master
ct_middletown,Middletown,Middlesex County,batch_1,1,pending,known_civicplus_vendor_signal_in_master
ct_old_saybrook,Old Saybrook,Middlesex County,batch_1,1,pending,known_civicplus_vendor_signal_in_master
ct_brookfield,Brookfield,Fairfield County,batch_1,2,pending,jobs_aspx_candidate_for_county_balance
ct_granby,Granby,Hartford County,batch_1,1,pending,jobs_url_on_civicplus_domain
ct_wethersfield,Wethersfield,Hartford County,batch_1,1,pending,jobs_url_on_civicplus_domain
ct_sharon,Sharon,Litchfield County,batch_1,2,pending,jobs_aspx_candidate_for_county_balance
ct_east_haven,East Haven,New Haven County,batch_1,2,pending,platform_column_verified_civicplus
ct_orange,Orange,New Haven County,batch_1,2,pending,jobs_aspx_candidate_for_county_balance
ct_waterford,Waterford,New London County,batch_1,2,pending,jobs_aspx_candidate_for_county_balance
ct_preston,Preston,New London County,batch_1,2,pending,jobs_aspx_candidate_for_county_balance
ct_willington,Willington,Tolland County,batch_1,2,pending,jobs_aspx_candidate_for_county_balance
ct_brooklyn,Brooklyn,Windham County,batch_1,2,pending,jobs_aspx_candidate_for_county_balance
ct_danbury,Danbury,Fairfield County,batch_2,2,pending,platform_column_verified_civicplus
ct_newtown,Newtown,Fairfield County,batch_2,2,pending,platform_column_verified_civicplus
ct_bristol,Bristol,Hartford County,batch_2,2,pending,platform_column_verified_civicplus
ct_enfield,Enfield,Hartford County,batch_2,2,pending,platform_column_verified_civicplus
ct_south_windsor,South Windsor,Hartford County,batch_2,2,pending,platform_column_verified_civicplus
ct_goshen,Goshen,Litchfield County,batch_2,2,pending,platform_column_verified_civicplus
ct_roxbury,Roxbury,Litchfield County,batch_2,2,pending,platform_column_verified_civicplus
ct_clinton,Clinton,Middlesex County,batch_2,2,pending,platform_column_verified_civicplus
ct_middlefield,Middlefield,Middlesex County,batch_2,2,pending,platform_column_verified_civicplus
ct_beacon_falls,Beacon Falls,New Haven County,batch_2,2,pending,platform_column_verified_civicplus
ct_middlebury,Middlebury,New Haven County,batch_2,2,pending,platform_column_verified_civicplus
ct_west_haven,West Haven,New Haven County,batch_2,2,pending,platform_column_verified_civicplus
ct_bozrah,Bozrah,New London County,batch_2,2,pending,platform_column_verified_civicplus
ct_ledyard,Ledyard,New London County,batch_2,2,pending,platform_column_verified_civicplus
ct_old_lyme,Old Lyme,New London County,batch_2,2,pending,platform_column_verified_civicplus
ct_columbia,Columbia,Tolland County,batch_2,2,pending,platform_column_verified_civicplus
ct_ashford,Ashford,Windham County,batch_2,2,pending,platform_column_verified_civicplus
ct_sterling,Sterling,Windham County,batch_2,2,pending,platform_column_verified_civicplus
ct_darien,Darien,Fairfield County,batch_3,2,pending,platform_column_verified_civicplus
ct_norwalk,Norwalk,Fairfield County,batch_3,2,pending,platform_column_verified_civicplus
ct_burlington,Burlington,Hartford County,batch_3,2,pending,platform_column_verified_civicplus
ct_newington,Newington,Hartford County,batch_3,2,pending,platform_column_verified_civicplus
ct_windsor,Windsor,Hartford County,batch_3,2,pending,platform_column_verified_civicplus
ct_harwinton,Harwinton,Litchfield County,batch_3,2,pending,platform_column_verified_civicplus
ct_torrington,Torrington,Litchfield County,batch_3,2,pending,platform_column_verified_civicplus
ct_cromwell,Cromwell,Middlesex County,batch_3,2,pending,platform_column_verified_civicplus
ct_westbrook,Westbrook,Middlesex County,batch_3,2,pending,platform_column_verified_civicplus
ct_branford,Branford,New Haven County,batch_3,2,pending,platform_column_verified_civicplus
ct_milford,Milford,New Haven County,batch_3,2,pending,platform_column_verified_civicplus
ct_wolcott,Wolcott,New Haven County,batch_3,2,pending,platform_column_verified_civicplus
