municipality_id,town_name,county,batch_id,priority,status,notes
ct_ansonia,Ansonia,New Haven County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalisgov
ct_avon,Avon,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Revize
ct_barkhamsted,Barkhamsted,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CivicLift
ct_berlin,Berlin,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CoreBT
ct_bethany,Bethany,New Haven County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalisgov
ct_bethel,Bethel,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalisgov
ct_bethlehem,Bethlehem,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalisgov
ct_bloomfield,Bloomfield,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=blank
ct_bolton,Bolton,Tolland County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Aptuitiv
ct_bridgeport,Bridgeport,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=ifsight
ct_canaan,Canaan,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CivicLift
ct_canton,Canton,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalisgov
ct_chaplin,Chaplin,Windham County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Quasar
ct_colebrook,Colebrook,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Wordpress
ct_cornwall,Cornwall,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=blank
ct_derby,Derby,New Haven County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Evogov
ct_durham,Durham,Middlesex County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CivicLift
ct_east_granby,East Granby,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=AWR Web Design
ct_east_haddam,East Haddam,Middlesex County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=EvoGov
ct_east_lyme,East Lyme,New London County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=blank
ct_ellington,Ellington,Tolland County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=finalsite
