municipality_id,town_name,platform_vendor,homepage_url,batch_id,processed_in_db,pages_count,contacts_count,winners_count,blocked_403_count,crawl_diagnostic_class,classification
ct_bloomfield,Bloomfield,,https://www.bloomfieldct.gov/,batch_non_civicplus_baseline,no,,108,6,0,ok,ready_for_extraction_qa
ct_cornwall,Cornwall,,https://cornwallct.org/,batch_non_civicplus_baseline,no,,54,6,0,ok,ready_for_extraction_qa
ct_east_lyme,East Lyme,,https://eltownhall.com/,batch_non_civicplus_baseline,no,,0,0,0,probable_js_shell,needs_deep_page_scrape
ct_hebron,Hebron,,https://www.hebronct.com/,batch_non_civicplus_baseline,no,,17,7,0,ok,no_action_until_manual_review
ct_lyme,Lyme,,https://townlyme.org/,batch_non_civicplus_baseline,no,,29,7,0,ok,no_action_until_manual_review
ct_norfolk,Norfolk,,https://norfolkct.org/,batch_non_civicplus_baseline,no,,29,6,0,ok,no_action_until_manual_review
ct_portland,Portland,,https://www.portlandct.org/,batch_non_civicplus_baseline,no,,70,6,0,ok,no_action_until_manual_review
ct_redding,Redding,,https://reddingct.gov/,batch_non_civicplus_baseline,no,,66,8,0,ok,no_action_until_manual_review
ct_union,Union,,https://www.unionconnecticut.org/,batch_non_civicplus_baseline,no,,31,6,0,ok,no_action_until_manual_review
ct_east_granby,East Granby,AWR Web Design,https://eastgranbyct.org/,batch_non_civicplus_baseline,no,,52,7,0,ok,ready_for_extraction_qa
ct_hartland,Hartland,AWR Web Design,https://www.hartlandct.org/,batch_non_civicplus_baseline,no,,22,6,0,ok,no_action_until_manual_review
ct_stratford,Stratford,Apptegy,https://www.townofstratford.com/,batch_non_civicplus_baseline,no,,0,0,0,probable_js_shell,needs_deep_page_scrape
ct_vernon,Vernon,Apptegy,https://www.vernon-ct.gov/,batch_non_civicplus_baseline,no,,0,0,0,probable_js_shell,needs_deep_page_scrape
ct_bolton,Bolton,Aptuitiv,https://www.boltonct.gov/,batch_non_civicplus_baseline,no,,27,6,0,ok,ready_for_extraction_qa
ct_monroe,Monroe,Catalis,https://www.monroect.gov/,batch_non_civicplus_baseline,no,,75,6,0,ok,ready_for_extraction_qa
