municipality_id,town_name,review_type,role_normalized,name,email,phone,department,page_type,source_url,missing_roles,missing_count,suspicious_reason
ct_brookfield,Brookfield,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_brooklyn,Brooklyn,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_chester,Chester,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Town Clerk,5,
ct_east_haven,East Haven,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_essex,Essex,missing_key_roles_2plus,,,,,,,,Mayor; Town Manager; Assessor,3,
ct_granby,Granby,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_haddam,Haddam,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Town Clerk,4,
ct_middletown,Middletown,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Town Clerk,4,
ct_old_saybrook,Old Saybrook,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Town Clerk,4,
ct_orange,Orange,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_preston,Preston,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_sharon,Sharon,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_waterford,Waterford,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_wethersfield,Wethersfield,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
ct_willington,Willington,missing_key_roles_2plus,,,,,,,,First Selectman; Mayor; Town Manager; Assessor; Tax Collector; Town Clerk,6,
