municipality_id,role_normalized,name,email,phone,department,page_type,source_url,suspicious_reason
ct_brookfield,Assessor,,,8607249100,Assessor,department_page,https://www.brookfieldct.gov/217/Tax-Collector,missing_email
ct_brookfield,Building Official,Assistant Building,,2037757305,Building Official,department_page,https://www.brookfieldct.gov/231/Building-Department,missing_email
ct_brookfield,First Selectman,Fire Marshal,,2037757306,,staff_directory,https://www.brookfieldct.gov/Directory.aspx,missing_email
ct_brookfield,Land Use,Amy Curran,,2037757316,Planning,department_page,https://www.brookfieldct.gov/169/Planning-Zoning-Commission,missing_email
ct_brookfield,Planner,Still River,,2037757319,Still River Greenway Ad-Hoc Committee Water Pollution Control Authority Youth Commission Zoning Board of Appeals,staff_directory,https://www.brookfieldct.gov/Directory.aspx,missing_email
ct_brookfield,Tax Collector,,,2037755317,Fax: Link: Tax Collector Page,staff_directory,https://www.brookfieldct.gov/Directory.aspx?did=29,missing_email
ct_brookfield,Town Clerk,New Milford,,8603556029,Town Clerk,department_page,https://www.brookfieldct.gov/216/Town-Clerk,missing_email
ct_brooklyn,Land Use,,,8607793411,Land Use Department Parks & Recreation,staff_directory,https://www.brooklynct.org/Directory.aspx,missing_email
ct_brooklyn,Tax Collector,Resident Trooper,,8607799008,Resident Trooper or for Troop D Tax Collector,staff_directory,https://www.brooklynct.org/Directory.aspx,missing_email
ct_chester,Assessor,Emily Eckenroth,,8605260013,"Emily Eckenroth Assessor, CCMA I",department_page,https://www.chesterct.org/1393/Assessor,missing_email
ct_chester,Treasurer,Emergency Management,,8605260013,Emergency Management Finance/Treasurer,staff_directory,https://www.chesterct.org/Directory.aspx,missing_email
ct_east_haven,Building Official,Administrative Assistant,rdeluca@easthaven-ct.gov,2034683217,Building Official,department_page,https://www.easthaven-ct.gov/168/Building-Department,assistant_name
ct_east_haven,Finance Director,,,2034683210,,staff_directory,https://www.easthaven-ct.gov/Directory.aspx?did=11,missing_email
ct_east_haven,Planner,Administrative Assistant,msantamaria@easthaven-ct.gov,,Administrative Assistant Email Melissa SantaMaria Planning & Zoning Department Physical Address,department_page,https://www.easthaven-ct.gov/183/Planning-Zoning-Department,assistant_name
ct_essex,Assessor,,assessor@essexct.gov,8607674340,assessor,department_page,https://www.essexct.gov/261/Tax-Collector,assessor_tax_url_mismatch
ct_essex,Land Use,,,8607674340,Planning,department_page,https://www.essexct.gov/703/Land-Use---Planning-Zoning-and-Inland-We,missing_email
ct_essex,Treasurer,,,8607674340,Treasurer,staff_directory,https://www.essexct.gov/Directory.aspx,missing_email
ct_granby,Assessor,,,8608445311,"Susan Altieri, CCMA II Assessor Phone",department_page,https://www.granby-ct.gov/162/Assessor,missing_email
ct_granby,Building Official,Land Use Coordinator,,8608445318,"Deltenre, Renee Land Use Coordinator Skilton, Joel Building Official / Zoning Enforcement",staff_directory,https://www.granby-ct.gov/Directory.aspx?did=7,missing_email
ct_granby,First Selectman,,,8608445240,,board_page,https://www.granby-ct.gov/190/Board-of-Selectmen,missing_email
ct_granby,Planner,Youth Service Bureau,,8608445355,Intern Youth Service Bureau Zoning Board of Appeals Address Holder,staff_directory,https://www.granby-ct.gov/directory.aspx,missing_email
ct_granby,Town Manager,,,8608445319,Planning,department_page,https://www.granby-ct.gov/385/Planning-Zoning-Commission,missing_email
ct_haddam,Land Use,,,8603458531,Higganum Cove Preserve Commission Land Use Department,staff_directory,https://www.haddam.org/Directory.aspx,missing_email
ct_haddam,Town Clerk,Tax Sale,,8603458531,Town Clerk,staff_directory,https://www.haddam.org/Directory.aspx,missing_email
ct_middletown,Land Use,Land Use,,8606384590,Land Use Middletown Fire Department,staff_directory,https://www.middletownct.gov/Directory.aspx,missing_email
ct_old_saybrook,Building Official,Old Saybrook,,8603953130,"Old Saybrook, CT 06475 Phone: Link: Building Department Page",staff_directory,https://www.oldsaybrookct.gov/Directory.aspx?did=8,missing_email
ct_old_saybrook,Finance Director,,,8603953127,,staff_directory,https://www.oldsaybrookct.gov/Directory.aspx?did=12,missing_email
ct_old_saybrook,Planner,Old Saybrook,,8603953123,Zoning,department_page,https://www.oldsaybrookct.gov/AgendaCenter/Zoning-Commission-18/,missing_email
ct_old_saybrook,Town Clerk,Old Saybrook,,8603953123,Town Clerk,department_page,https://www.oldsaybrookct.gov/164/Town-Clerk,missing_email
ct_old_saybrook,Treasurer,Transfer Station,,8603953187,Transfer Station Treasurer,staff_directory,https://www.oldsaybrookct.gov/directory.aspx,missing_email
ct_orange,Assessor,,,2038914723,Shannon Maliff Clerical Assistant to Assessor Contact Assessor's Office Phone,department_page,https://www.orange-ct.gov/153/Assessor,missing_email
ct_orange,Building Official,Electrical Inspector,,2038914714,"Petrillo , Ron Electrical Inspector Contact Building Department",staff_directory,https://www.orange-ct.gov/Directory.aspx?did=8,missing_email
ct_orange,Finance Director,,,2038914735,,staff_directory,https://www.orange-ct.gov/Directory.aspx?did=10,missing_email
ct_orange,Planner,,,2038914790,"Parks & Recreation Office, Pool & Fitness Center Plan & Zoning Department",staff_directory,https://www.orange-ct.gov/directory.aspx,missing_email
ct_orange,Tax Collector,Assistant Tax,,2038914725,Assistant Tax Collector I Contact Tax Collector's Office Return to Staff Directory Live Edit,staff_directory,https://www.orange-ct.gov/Directory.aspx?did=26,missing_email
ct_orange,Town Clerk,,,2038914730,Us Mary Shaw Town Clerk Contact Town Clerk's Office Phone: More Information,department_page,https://www.orange-ct.gov/212/Town-Clerk,missing_email
ct_orange,Treasurer,,,2038914734,,staff_directory,https://www.orange-ct.gov/Directory.aspx?did=10,missing_email
ct_preston,Tax Collector,Senior Center,,8608890770,Senior Center Tax Collector,staff_directory,https://www.preston-ct.org/Directory.aspx,missing_email
ct_preston,Treasurer,Transfer Station,,8608861836,Transfer Station Treasurer,staff_directory,https://www.preston-ct.org/Directory.aspx,missing_email
ct_sharon,Building Official,Sharon Housing Authority,,8603641400,Sharon Housing Authority Sharon Parks & Recreation Committee Town Garage Building Committee Town Hall Committee,staff_directory,https://www.sharonct.gov/Directory.aspx,missing_email
ct_sharon,Planner,Northwest Hills COG,,8603640909,Northwest Hills COG Planning & Zoning Commission Region One Representatives Republican Town Committee,staff_directory,https://www.sharonct.gov/Directory.aspx,missing_email
ct_sharon,Treasurer,,,8603645789,Town Treasurer,staff_directory,https://www.sharonct.gov/Directory.aspx,missing_email
ct_waterford,Assessor,ADA Coordination,,8604445820,ADA Coordination Assessor Boards & Commissions Animal Control Facility Study Ad-Hoc,staff_directory,https://www.waterfordct.org/Directory.aspx,missing_email
ct_waterford,Building Official,Assistant Building,bmacko@waterfordct.org,8604445826,Building Official,department_page,https://ct-waterford.civicplus.com/201/Building,assistant_name
ct_waterford,First Selectman,Executive Assistant,swithey@waterfordct.org,8604445834,,other,https://www.waterfordct.org/227/First-Selectmans-Office,assistant_name
ct_wethersfield,Tax Collector,Senior Center,,8607212770,Senior Center Tax Collector,staff_directory,https://wethersfieldct.gov/directory.aspx,missing_email
ct_willington,Building Official,Assistant Land,edelaney@willingtonct.gov,8604873123,Planning,other,https://www.willingtonct.gov/1215/Land-Use-Department,assistant_name
ct_willington,First Selectman,,,8604873100,,staff_directory,https://www.willingtonct.gov/Directory.aspx?did=46,missing_email
ct_willington,Planner,Transfer Station,,8606843626,Tri-Centennial Committee Transfer Station Zoning Board of Appeals Willington Cemetery Association,staff_directory,https://www.willingtonct.gov/Directory.aspx,missing_email
ct_willington,Tax Collector,,,8604873111,Tax Collector,staff_directory,https://www.willingtonct.gov/Directory.aspx,missing_email
