category,canonical_path,score,municipality_count,row_count,winner_backed_count,is_clean_slug,is_numeric_slug,example_paths,example_municipalities,recommendation
directory,/directory.aspx,9,7,653,7,1,0,/Directory.aspx; /directory.aspx,ct_bridgewater; ct_hamden; ct_north_branford; ct_trumbull; ct_washington; ct_windham; ct_woodbridge,add_to_probe_list
directory,/518/staff-directory,6,1,5,1,0,1,/518/Staff-Directory,ct_windham,review_manually
directory,/businessdirectoryii.aspx,6,1,3,1,1,0,/BusinessDirectoryii.aspx,ct_hamden,review_manually
finance,/202/finance-department,5,1,5,1,0,1,/202/Finance-Department,ct_windham,review_manually
finance,/223/finance-department,5,1,2,1,0,1,/223/Finance-Department,ct_north_branford,review_manually
finance,/386/town-council---administration-finance-de,5,1,2,1,0,1,/386/Town-Council---Administration-Finance-De,ct_windham,review_manually
clerk,/town-clerk,9,2,8,2,1,0,/town-clerk,ct_eastford; ct_franklin,add_to_probe_list
clerk,/243/town-clerk,6,1,8,1,0,1,/243/Town-Clerk,ct_hamden,review_manually
clerk,/211/town-clerks-office,6,1,6,1,0,1,/211/Town-Clerks-office,ct_windham,review_manually
clerk,/177/town-clerk,6,1,5,1,0,1,/177/Town-Clerk,ct_woodbridge,review_manually
clerk,/1205/town-clerk,6,1,3,1,0,1,/1205/Town-Clerk,ct_washington,review_manually
clerk,/283/town-clerk,6,1,3,1,0,1,/283/Town-Clerk,ct_trumbull,review_manually
clerk,/1427/about-office-of-the-town-clerk,6,1,2,1,0,1,/1427/About-Office-of-the-Town-Clerk,ct_washington,review_manually
clerk,/257/town-clerk,6,1,2,1,0,1,/257/Town-Clerk,ct_north_branford,review_manually
clerk,/town-clerk/pages/public-records-search,6,1,2,1,1,0,/town-clerk/pages/public-records-search,ct_franklin,review_manually
clerk,/1214/town-clerk,6,1,1,1,0,1,/1214/Town-Clerk,ct_bridgewater,review_manually
clerk,/280/tax-collector,6,1,1,1,0,1,/280/Tax-Collector,ct_trumbull,review_manually
clerk,/building-department,6,1,1,1,1,0,/building-department,ct_franklin,review_manually
clerk,/home/news/town-clerk-office-will-be-closed-thursday-april-16th-2026,4,1,3,1,1,0,/home/news/town-clerk-office-will-be-closed-thursday-april-16th-2026,ct_franklin,review_manually
assessor,/274/tax-assessor,6,1,5,1,0,1,/274/Tax-Assessor,ct_trumbull,review_manually
assessor,/assessor,6,1,5,1,1,0,/assessor,ct_eastford,review_manually
assessor,/151/assessor,6,1,2,1,0,1,/151/Assessor,ct_woodbridge,review_manually
assessor,/168/assessors-office,6,1,2,1,0,1,/168/Assessors-Office,ct_hamden,review_manually
assessor,/280/tax-collector,6,1,2,1,0,1,/280/Tax-Collector,ct_trumbull,review_manually
assessor,/assessor/pages/gis-mapping-system,6,1,2,1,1,0,/assessor/pages/gis-mapping-system,ct_franklin,review_manually
assessor,/assessor/pages/property-record-cards,6,1,2,1,1,0,/assessor/pages/property-record-cards,ct_franklin,review_manually
assessor,/174/building,6,1,1,1,0,1,/174/Building,ct_hamden,review_manually
assessor,/180/departments,6,1,1,1,0,1,/180/Departments,ct_north_branford,review_manually
