municipality_id,source_url,normalized_path,canonical_path,category,role_normalized,role_family,department_normalized,page_type
ct_bridgewater,https://www.bridgewater-ct.gov/1200/Building-Department,/1200/Building-Department,/1200/building-department,building,Building Official,building,Building,department_page
ct_bridgewater,https://www.bridgewater-ct.gov/1200/Building-Department,/1200/Building-Department,/1200/building-department,building,Building Official,building,Building,department_page
ct_bridgewater,https://www.bridgewater-ct.gov/1200/Building-Department,/1200/Building-Department,/1200/building-department,building,Building Official,building,Building,department_page
ct_bridgewater,https://www.bridgewater-ct.gov/1214/Town-Clerk,/1214/Town-Clerk,/1214/town-clerk,clerk,Town Clerk,town_clerk,Town Clerk,department_page
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Tax Collector,tax_collector,Tax Collector,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Planner,planning_zoning,Planning & Zoning,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Recreation Commission Recreation Registrar of Voters,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Assessor,assessor,Assessor,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Board of Assessment Appeals,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Board of Education,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Building Official,building,Building,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Planner,planning_zoning,Planning & Zoning,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Registrar,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Tax Collector,tax_collector,Tax Collector,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Town Clerk,town_clerk,Town Clerk,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Treasurer,finance,Finance,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Cable Advisory Council Conservation & Inland / Wetlands Commission Emergency Management,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Emergency Management Fire & EMS Department,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Assessor,assessor,Assessor,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,First Selectman,chief_executive,First Selectman's Office Health Department Lake Lillinonah Authority,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Tax Collector,tax_collector,Tax Collector,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Town Clerk,town_clerk,Town Clerk,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Board of Assessment Appeals Board of Education,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Building,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Building Official,building,Building,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Planner,planning_zoning,Planning & Zoning,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,Treasurer,finance,Finance,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,First Selectman,chief_executive,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,Police Department Public Works,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=13,/Directory.aspx,/directory.aspx,directory,Tax Collector,tax_collector,Tax Collector,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=13,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=15,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=19,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=19,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=19,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=21,/Directory.aspx,/directory.aspx,directory,Town Clerk,town_clerk,Town Clerk,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=21,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=22,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=22,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=22,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=23,/Directory.aspx,/directory.aspx,directory,First Selectman,chief_executive,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=23,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=23,/Directory.aspx,/directory.aspx,directory,First Selectman,chief_executive,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=35,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=35,/Directory.aspx,/directory.aspx,directory,Planner,planning_zoning,Planning & Zoning,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=35,/Directory.aspx,/directory.aspx,directory,Planner,planning_zoning,Planning & Zoning,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/Directory.aspx?did=35,/Directory.aspx,/directory.aspx,directory,,,,staff_directory
ct_bridgewater,https://www.bridgewater-ct.gov/1202/Fire-EMS-Department,/1202/Fire-EMS-Department,/1202/fire-ems-department,other,,,,other
ct_bridgewater,https://www.bridgewater-ct.gov/1202/Fire-EMS-Department,/1202/Fire-EMS-Department,/1202/fire-ems-department,other,,,,other
ct_bridgewater,https://www.bridgewater-ct.gov/1206/Police-Department,/1206/Police-Department,/1206/police-department,other,First Selectman,chief_executive,,other
ct_bridgewater,https://www.bridgewater-ct.gov/1206/Police-Department,/1206/Police-Department,/1206/police-department,other,,,,other
ct_bridgewater,https://www.bridgewater-ct.gov/1205/Land-Use-Department,/1205/Land-Use-Department,/1205/land-use-department,planning,,,,other
ct_bridgewater,https://www.bridgewater-ct.gov/1205/Land-Use-Department,/1205/Land-Use-Department,/1205/land-use-department,planning,,,,other
ct_bridgewater,https://www.bridgewater-ct.gov/1205/Land-Use-Department,/1205/Land-Use-Department,/1205/land-use-department,planning,,,,other
ct_bridgewater,https://www.bridgewater-ct.gov/1308/Planning-Zoning-Commission,/1308/Planning-Zoning-Commission,/1308/planning-zoning-commission,planning,Planner,planning_zoning,Planning & Zoning,department_page
ct_bridgewater,https://www.bridgewater-ct.gov/1308/Planning-Zoning-Commission,/1308/Planning-Zoning-Commission,/1308/planning-zoning-commission,planning,Planner,planning_zoning,Planning & Zoning,department_page
ct_bridgewater,https://www.bridgewater-ct.gov/1213/Tax-Collector,/1213/Tax-Collector,/1213/tax-collector,tax,Tax Collector,tax_collector,Tax Collector,department_page
ct_eastford,http://www.eastfordct.gov/assessor,/assessor,/assessor,assessor,Assessor,assessor,Assessor,department_page
ct_eastford,http://www.eastfordct.gov/assessor,/assessor,/assessor,assessor,Assessor,assessor,Assessor,department_page
ct_eastford,http://www.eastfordct.gov/assessor,/assessor,/assessor,assessor,Assessor,assessor,Assessor,department_page
ct_eastford,http://www.eastfordct.gov/assessor,/assessor,/assessor,assessor,Assessor,assessor,Assessor,department_page
ct_eastford,http://www.eastfordct.gov/assessor,/assessor,/assessor,assessor,Assessor,assessor,Assessor,department_page
ct_eastford,http://www.eastfordct.gov/town-clerk,/town-clerk,/town-clerk,clerk,Town Clerk,town_clerk,Town Clerk,department_page
ct_eastford,http://www.eastfordct.gov/town-clerk,/town-clerk,/town-clerk,clerk,Town Clerk,town_clerk,Town Clerk,department_page
ct_eastford,http://www.eastfordct.gov/town-clerk,/town-clerk,/town-clerk,clerk,Town Clerk,town_clerk,Town Clerk,department_page
ct_eastford,http://www.eastfordct.gov/town-clerk,/town-clerk,/town-clerk,clerk,Assessor,assessor,Town Clerk,department_page
ct_eastford,http://www.eastfordct.gov/town-clerk,/town-clerk,/town-clerk,clerk,Town Clerk,town_clerk,Town Clerk,department_page
ct_franklin,https://www.franklinct.gov/assessor/pages/gis-mapping-system,/assessor/pages/gis-mapping-system,/assessor/pages/gis-mapping-system,assessor,First Selectman,chief_executive,Assessor,department_page
ct_franklin,https://www.franklinct.gov/assessor/pages/gis-mapping-system,/assessor/pages/gis-mapping-system,/assessor/pages/gis-mapping-system,assessor,Assessor,assessor,Assessor,department_page
