municipality_id,batch_id,blocked_reason,recovery_mode_attempted,recovery_result,homepage_status,fallback_status,sitemap_status,robots_status,known_path_hits,directory_hit,directory_fallback_attempted,directory_fallback_contacts,directory_source,recovered_contact_count,recovered_role_winner_count,api_hit,api_type,api_paths_hit,api_inventory_type,api_endpoint_count,api_inventory_paths,swagger_json_path,documented_get_count,selected_api_probe_count,successful_api_probe_count,likely_structured_endpoint_count,best_api_endpoint,best_api_endpoint_class,notes
ct_andover,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_deep_river,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_east_hartford,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_eastford,batch_4,http_forbidden,true,unrecovered_http_block,403,403,200,200,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_easton,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_new_hartford,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_north_stonington,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_plainville,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_stonington,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
ct_tolland,batch_4,http_forbidden,true,unrecovered_http_block,403,403,403,not_attempted,0,0,0,0,,0,0,0,none,,none,0,,,0,0,0,0,,,stopped_after_repeated_403_or_429
