municipality_id,town_name,missing_role_groups,missing_group_count,present_role_groups,present_group_roles
ct_greenwich,Greenwich,building; finance,2,executive; assessment; tax; clerk; planning,"executive: First Selectman, Town Administrator; assessment: Assessor; tax: Tax Collector; clerk: Town Clerk; planning: Planner"
ct_wilton,Wilton,executive; assessment; tax; clerk; building; planning; finance,7,,
ct_east_windsor,East Windsor,executive; assessment; tax; clerk; building; planning; finance,7,,
ct_rocky_hill,Rocky Hill,finance,1,executive; assessment; tax; clerk; building; planning,executive: Town Manager; assessment: Assessor; tax: Tax Collector; clerk: Town Clerk; building: Building Official; planning: Planner
ct_kent,Kent,executive; assessment; tax; clerk; building; planning; finance,7,,
ct_warren,Warren,executive; building; planning; finance,4,assessment; tax; clerk,assessment: Assessor; tax: Tax Collector; clerk: Town Clerk
ct_east_hampton,East Hampton,tax,1,executive; assessment; clerk; building; planning; finance,"executive: Town Manager; assessment: Assessor; clerk: Town Clerk; building: Building Official; planning: Planner, Land Use; finance: Finance Director"
ct_madison,Madison,finance,1,executive; assessment; tax; clerk; building; planning,"executive: First Selectman; assessment: Assessor; tax: Tax Collector; clerk: Town Clerk; building: Building Official; planning: Planner, Land Use"
ct_lebanon,Lebanon,executive; assessment; tax; clerk; building; planning; finance,7,,
ct_norwich,Norwich,clerk,1,executive; assessment; tax; building; planning; finance,executive: Mayor; assessment: Assessor; tax: Tax Collector; building: Building Official; planning: Planner; finance: Treasurer
ct_voluntown,Voluntown,building,1,executive; assessment; tax; clerk; planning; finance,"executive: First Selectman; assessment: Assessor; tax: Tax Collector; clerk: Town Clerk; planning: Planner; finance: Finance Director, Treasurer"
ct_mansfield,Mansfield,tax,1,executive; assessment; clerk; building; planning; finance,"executive: Mayor, Town Manager; assessment: Assessor; clerk: Town Clerk; building: Building Official; planning: Planner; finance: Finance Director"
ct_pomfret,Pomfret,executive; assessment; tax; clerk; building; planning; finance,7,,
ct_woodstock,Woodstock,executive; assessment; tax; clerk; building; planning; finance,7,,
