municipality_id,batch_id,seed_url_attempted,final_url_fetched,fallback_used,http_status,redirect_count,content_type,page_title,response_text_length,extracted_link_count,candidate_service_link_count,candidate_directory_link_count,contact_rows_extracted,detected_block_signal,detected_js_shell_signal,diagnostic_class
ct_ansonia,batch_non_civicplus_baseline,https://www.cityofansonia.com/,https://www.cityofansonia.com/,0,200,0,text/html,"Home - City of Ansonia, Connecticut",73336,34,1,1,75,1,1,ok
ct_avon,batch_non_civicplus_baseline,https://www.avonct.gov/,https://www.avonct.gov/,0,200,0,text/html,"Avon, CT",113841,1046,50,75,121,1,1,ok
ct_barkhamsted,batch_non_civicplus_baseline,https://www.barkhamsted.us/,https://www.barkhamsted.us/,0,200,0,text/html,"Welcome to Barkhamsted, CT",72512,129,26,21,119,0,1,ok
ct_berlin,batch_non_civicplus_baseline,https://www.berlinct.gov/,https://www.berlinct.gov/,0,200,0,text/html,"Home / Berlin, CT",74749,4230,50,73,287,0,1,ok
ct_bethany,batch_non_civicplus_baseline,https://bethany-ct.com/,https://bethanyct.gov/,0,200,1,text/html,Town of Bethany,47904,43,8,0,49,0,1,ok
ct_bethel,batch_non_civicplus_baseline,https://bethel-ct.gov/,https://bethel-ct.gov/,0,200,0,text/html,"Bethel, CT",93059,3915,50,41,130,1,1,ok
ct_bethlehem,batch_non_civicplus_baseline,https://bethlehemct.org/,https://bethlehemct.org/,0,200,0,text/html,Town of Bethlehem Connecticut,38683,1706,15,14,41,1,1,ok
ct_bloomfield,batch_non_civicplus_baseline,https://www.bloomfieldct.gov/,https://www.bloomfieldct.gov/,0,200,0,text/html,"Bloomfield, CT | Official Website",135339,1321,50,9,232,0,1,ok
ct_bolton,batch_non_civicplus_baseline,https://www.boltonct.gov/,https://www.boltonct.gov/,0,200,0,text/html,"Bolton, Connecticut",155215,1154,50,58,93,0,1,ok
ct_bridgeport,batch_non_civicplus_baseline,https://www.bridgeportct.gov/,https://www.bridgeportct.gov/,0,200,0,text/html,Homepage | City of Bridgeport,37467,1667,50,20,61,0,1,ok
ct_canaan,batch_non_civicplus_baseline,https://www.canaanfallsvillage.org/,https://www.canaanfallsvillage.org/,0,200,0,text/html,"Welcome to Falls Village / Town of Canaan, CT!",64342,120,25,19,171,0,1,ok
ct_canton,batch_non_civicplus_baseline,https://www.townofcantonct.org/,https://www.townofcantonct.org/,0,200,0,text/html,"Town of Canton, CT",450593,43,6,5,134,1,1,ok
ct_chaplin,batch_non_civicplus_baseline,https://www.chaplinct.org/,https://www.chaplinct.org/,0,200,0,text/html,"Town of Chaplin, Connecticut",38948,144,35,34,153,1,1,ok
ct_colebrook,batch_non_civicplus_baseline,https://www.townofcolebrook.org/,https://www.townofcolebrook.org/,0,200,0,text/html,"Town of Colebrook, Connecticut",68381,198,22,21,105,0,1,ok
ct_cornwall,batch_non_civicplus_baseline,https://cornwallct.org/,https://cornwallct.org/,0,200,0,text/html,Cornwall CT - Greenest Town in Connecticut,1081383,5638,50,16,402,0,1,ok
