municipality_id,town_name,vendor_platform,diagnostic_class,blocked_reason,raw_contacts,clean_contacts,role_winners,missing_group_count,coverage_interpretation
ct_ansonia,Ansonia,Catalisgov,ok,,75,55,6,2,normal_coverage_gap
ct_avon,Avon,Revize,ok,,120,55,2,5,normal_coverage_gap; suspicious_winner
ct_barkhamsted,Barkhamsted,CivicLift,ok,,118,97,7,0,
ct_berlin,Berlin,CoreBT,ok,,248,88,6,1,suspicious_winner
ct_bethany,Bethany,Catalisgov,ok,,48,40,8,0,
ct_bethel,Bethel,Catalisgov,ok,,95,64,8,0,suspicious_winner
ct_bethlehem,Bethlehem,Catalisgov,ok,,38,24,6,1,suspicious_winner
ct_bloomfield,Bloomfield,(blank),ok,,185,108,6,1,
ct_bolton,Bolton,Aptuitiv,ok,,92,27,6,2,normal_coverage_gap
ct_bridgeport,Bridgeport,ifsight,ok,,58,52,5,2,normal_coverage_gap; suspicious_winner
ct_canaan,Canaan,CivicLift,ok,,121,67,7,0,
ct_canton,Canton,Catalisgov,ok,,107,80,8,0,
ct_chaplin,Chaplin,Quasar,ok,,117,52,7,0,suspicious_winner
ct_colebrook,Colebrook,Wordpress,ok,,54,33,7,0,
ct_cornwall,Cornwall,(blank),ok,,333,54,6,1,
ct_derby,Derby,EvoGov,ok,,1,1,0,7,normal_coverage_gap
ct_durham,Durham,CivicLift,ok,,145,61,8,0,suspicious_winner
ct_east_granby,East Granby,AWR Web Design,ok,,204,52,7,0,
ct_east_haddam,East Haddam,EvoGov,ok,,139,90,8,0,suspicious_winner
ct_east_lyme,East Lyme,(blank),probable_js_shell,,0,0,0,7,crawl_diagnostic_nonblocked_failure
ct_ellington,Ellington,finalsite,ok,,59,23,5,2,normal_coverage_gap
ct_fairfield,Fairfield,Revize,ok,,140,50,5,2,normal_coverage_gap; suspicious_winner
ct_farmington,Farmington,Granicus,blocked_or_forbidden,http_forbidden,0,0,0,7,blocked_town
ct_glastonbury,Glastonbury,Granicus,blocked_or_forbidden,http_forbidden,0,0,0,7,blocked_town
ct_griswold,Griswold,Revize,ok,,121,65,8,0,suspicious_winner
ct_groton,Groton,Revize,ok,,43,36,7,1,suspicious_winner
ct_guilford,Guilford,Revize,ok,,142,83,7,0,suspicious_winner
ct_hampton,Hampton,Quasar Internet Solutions,ok,,42,24,5,2,normal_coverage_gap; suspicious_winner
ct_hartford,Hartford,Granicus,blocked_or_forbidden,http_forbidden,0,0,0,7,blocked_town
ct_hartland,Hartland,AWR Web Design,ok,,100,22,6,1,suspicious_winner
ct_hebron,Hebron,(blank),ok,,73,17,7,0,suspicious_winner
ct_killingly,Killingly,Revize,ok,,41,11,4,3,normal_coverage_gap
ct_killingworth,Killingworth,PurpleDog,ok,,71,60,7,0,suspicious_winner
ct_litchfield,Litchfield,CivicLift,ok,,87,55,7,0,suspicious_winner
ct_lyme,Lyme,(blank),ok,,45,29,7,1,suspicious_winner
ct_manchester,Manchester,Granicus,blocked_or_forbidden,http_forbidden,0,0,0,7,blocked_town
ct_marlborough,Marlborough,Revize,ok,,146,92,6,1,suspicious_winner
