vendor_platform,municipalities_total,municipalities_with_any_contacts,municipalities_zero_yield,municipalities_blocked_or_forbidden,municipalities_with_suspicious_winners,municipalities_with_missing_role_groups
(blank),9,8,1,0,6,7
AWR Web Design,2,2,0,0,1,1
Apptegy,2,0,2,0,0,2
Aptuitiv,1,1,0,0,0,1
Catalis,8,8,0,0,0,8
Catalisgov,5,5,0,0,2,2
CivicLift,10,10,0,0,6,1
CoreBT,1,1,0,0,1,1
EvoGov,4,4,0,0,3,2
Granicus,9,0,9,9,0,9
PurpleDog,1,1,0,0,1,0
Quasar,1,1,0,0,1,0
Quasar Internet Solutions,2,2,0,0,2,1
Revize,14,14,0,0,11,10
TownWeb,2,2,0,0,2,1
Web Solutions,3,3,0,0,1,2
Wordpress,2,2,0,0,1,0
egovlink,1,1,0,0,0,1
finalsite,5,5,0,0,3,4
ifsight,1,1,0,0,1,1
