municipality_id,town_name,county,raw_contacts,clean_contacts,role_winners,service_links
ct_avon,Avon,Hartford County,69,0,0,0
ct_fairfield,Fairfield,Fairfield County,22,0,0,0
ct_griswold,Griswold,New London County,58,0,0,0
ct_groton,Groton,New London County,43,0,0,5
ct_guilford,Guilford,New Haven County,63,0,0,0
ct_killingly,Killingly,Windham County,158,0,0,0
ct_marlborough,Marlborough,Hartford County,146,0,0,9
ct_new_canaan,New Canaan,Fairfield County,24,0,0,0
ct_north_haven,North Haven,New Haven County,17,0,0,0
ct_plainfield,Plainfield,Windham County,18,0,0,0
ct_ridgefield,Ridgefield,Fairfield County,60,0,0,0
ct_southington,Southington,Hartford County,350,0,0,0
ct_stafford,Stafford,Tolland County,3,0,0,0
ct_watertown,Watertown,Litchfield County,21,0,0,0
