municipality_id,drop_stage,drop_reason,count
ct_avon,insert_dedup,deduped_as_duplicate,19
ct_avon,normalization,contact_only_mapped_to_department_contact,78
ct_avon,normalization,converted_name_to_department,4
ct_avon,normalization,drop_department_action_label,12
ct_avon,normalization,drop_department_address_like,17
ct_avon,normalization,drop_missing_contact_method,29
ct_avon,normalization,drop_name_action_label,5
ct_avon,normalization,drop_name_invalid_pattern,2
ct_avon,normalization,drop_title_action_label,40
ct_avon,normalization,revize_invalid_name_rejections,7
ct_avon,normalization,revize_phone_string_preserved,155
ct_avon,normalization,suppressed_vacancy_rows,1
ct_avon,pre_clean_contacts,clean_contacts_view_missing,1
ct_fairfield,normalization,contact_only_mapped_to_department_contact,1
ct_fairfield,normalization,drop_department_action_label,6
ct_fairfield,normalization,drop_missing_contact_method,10
ct_fairfield,normalization,drop_title_action_label,1
ct_fairfield,normalization,revize_phone_string_preserved,1
ct_fairfield,pre_clean_contacts,clean_contacts_view_missing,1
ct_griswold,normalization,contact_only_mapped_to_department_contact,44
ct_griswold,normalization,converted_name_to_department,20
ct_griswold,normalization,drop_department_action_label,12
ct_griswold,normalization,drop_missing_contact_method,181
ct_griswold,normalization,drop_name_invalid_pattern,5
ct_griswold,normalization,drop_name_non_person_label,5
ct_griswold,normalization,drop_title_action_label,19
ct_griswold,normalization,revize_invalid_name_rejections,10
ct_griswold,normalization,revize_phone_string_preserved,46
ct_griswold,pre_clean_contacts,clean_contacts_view_missing,1
ct_groton,insert_dedup,deduped_as_duplicate,1
ct_groton,normalization,contact_only_mapped_to_department_contact,40
ct_groton,normalization,drop_department_action_label,6
ct_groton,normalization,drop_missing_contact_method,296
ct_groton,normalization,drop_name_invalid_pattern,1
ct_groton,normalization,drop_person_missing_supporting_fields,1
ct_groton,normalization,drop_title_action_label,30
ct_groton,normalization,revize_invalid_name_rejections,1
ct_groton,normalization,revize_phone_string_preserved,51
ct_groton,pre_clean_contacts,clean_contacts_view_missing,1
ct_guilford,insert_dedup,deduped_as_duplicate,33
ct_guilford,normalization,contact_only_mapped_to_department_contact,76
ct_guilford,normalization,converted_name_to_department,46
ct_guilford,normalization,drop_missing_contact_method,98
ct_guilford,normalization,drop_name_invalid_pattern,12
ct_guilford,normalization,drop_name_non_person_label,9
ct_guilford,normalization,drop_title_action_label,19
ct_guilford,normalization,revize_invalid_name_rejections,21
ct_guilford,normalization,revize_phone_string_preserved,83
ct_guilford,pre_clean_contacts,clean_contacts_view_missing,1
ct_killingly,insert_dedup,deduped_as_duplicate,8
ct_killingly,normalization,contact_only_mapped_to_department_contact,69
ct_killingly,normalization,drop_department_action_label,115
ct_killingly,normalization,drop_department_address_like,2
ct_killingly,normalization,drop_missing_contact_method,29
ct_killingly,normalization,drop_title_action_label,131
ct_killingly,normalization,revize_phone_string_preserved,493
ct_killingly,pre_clean_contacts,clean_contacts_view_missing,1
ct_marlborough,pre_clean_contacts,clean_contacts_view_missing,1
ct_new_canaan,normalization,contact_only_mapped_to_department_contact,26
ct_new_canaan,normalization,drop_department_action_label,8
ct_new_canaan,normalization,drop_missing_contact_method,53
ct_new_canaan,normalization,drop_name_address_like,1
ct_new_canaan,normalization,drop_name_invalid_pattern,1
ct_new_canaan,normalization,drop_title_action_label,25
ct_new_canaan,normalization,revize_invalid_name_rejections,2
ct_new_canaan,normalization,revize_phone_string_preserved,21
ct_new_canaan,pre_clean_contacts,clean_contacts_view_missing,1
ct_north_haven,normalization,contact_only_mapped_to_department_contact,17
ct_north_haven,normalization,converted_name_to_department,10
ct_north_haven,normalization,converted_name_to_title,1
ct_north_haven,normalization,drop_department_action_label,13
ct_north_haven,normalization,drop_department_address_like,3
ct_north_haven,normalization,drop_missing_contact_method,79
ct_north_haven,normalization,drop_name_address_like,1
ct_north_haven,normalization,drop_name_invalid_pattern,1
ct_north_haven,normalization,drop_name_non_person_label,2
ct_north_haven,normalization,drop_title_action_label,9
ct_north_haven,normalization,revize_invalid_name_rejections,4
ct_north_haven,normalization,revize_phone_string_preserved,29
ct_north_haven,pre_clean_contacts,clean_contacts_view_missing,1
ct_plainfield,normalization,contact_only_mapped_to_department_contact,28
ct_plainfield,normalization,converted_name_to_department,9
ct_plainfield,normalization,drop_department_action_label,20
ct_plainfield,normalization,drop_missing_contact_method,134
ct_plainfield,normalization,drop_title_action_label,42
ct_plainfield,normalization,revize_phone_string_preserved,38
ct_plainfield,pre_clean_contacts,clean_contacts_view_missing,1
ct_ridgefield,insert_dedup,deduped_as_duplicate,17
ct_ridgefield,normalization,contact_only_mapped_to_department_contact,51
ct_ridgefield,normalization,converted_name_to_department,1
ct_ridgefield,normalization,drop_department_action_label,47
ct_ridgefield,normalization,drop_department_address_like,10
ct_ridgefield,normalization,drop_missing_contact_method,127
ct_ridgefield,normalization,drop_title_action_label,50
ct_ridgefield,normalization,revize_phone_string_preserved,166
ct_ridgefield,pre_clean_contacts,clean_contacts_view_missing,1
ct_southington,insert_dedup,deduped_as_duplicate,30
ct_southington,normalization,contact_only_mapped_to_department_contact,134
ct_southington,normalization,drop_department_action_label,4
ct_southington,normalization,drop_department_address_like,41
ct_southington,normalization,drop_missing_contact_method,11
ct_southington,normalization,drop_title_action_label,26
ct_southington,normalization,revize_phone_string_preserved,511
ct_southington,pre_clean_contacts,clean_contacts_view_missing,1
ct_stafford,normalization,contact_only_mapped_to_department_contact,10
ct_stafford,normalization,drop_department_action_label,5
ct_stafford,normalization,drop_missing_contact_method,456
ct_stafford,normalization,drop_title_action_label,10
ct_stafford,normalization,revize_phone_string_preserved,7
ct_stafford,pre_clean_contacts,clean_contacts_view_missing,1
ct_watertown,insert_dedup,deduped_as_duplicate,16
ct_watertown,normalization,contact_only_mapped_to_department_contact,46
ct_watertown,normalization,converted_name_to_department,18
ct_watertown,normalization,converted_name_to_title,2
ct_watertown,normalization,drop_department_action_label,79
